Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,Matches,MOTM
Ben White\Ben-White,eng ENG,DF,21,46,46,4140,1,2,0,0,6,0,0.02,0.04,0.07,0.02,0.07,Matches,1
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,28,45,45,3930,5,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,Matches,1
Mateusz Klich\Mateusz-Klich,pl POL,MF,29,45,45,3798,6,5,2,3,8,0,0.14,0.12,0.26,0.09,0.21,Matches,3
Jack Harrison\Jack-Harrison,eng ENG,MF,22,46,45,3794,6,8,0,0,1,0,0.14,0.19,0.33,0.14,0.33,Matches,5
Patrick Bamford\Patrick-Bamford,eng ENG,FW,25,45,43,3445,16,2,2,3,4,0,0.42,0.05,0.47,0.37,0.42,Matches,5
Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,23,37,37,3250,2,2,0,0,9,1,0.06,0.06,0.11,0.06,0.11,Matches,4
Kiko Casilla\Kiko-Casilla,es ESP,GK,32,36,36,3240,0,0,0,0,2,0,0,0,0,0,0,Matches,1
Luke Ayling\Luke-Ayling,eng ENG,DF,27,37,35,3176,4,4,0,0,9,0,0.11,0.11,0.23,0.11,0.23,Matches,1
Liam Cooper\Liam-Cooper,sco SCO,DF,27,38,36,3125,2,0,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches,2
Hélder Costa\Helder-Costa,pt POR,MF,25,43,33,2954,4,5,0,0,3,0,0.12,0.15,0.27,0.12,0.27,Matches,1
Pablo Hernández\Pablo-Hernandez,es ESP,MF,34,36,27,2497,9,9,0,0,6,0,0.32,0.32,0.65,0.32,0.65,Matches,4
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,27,39,21,2262,5,3,0,0,8,0,0.2,0.12,0.32,0.2,0.32,Matches,2
Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,30,22,13,1127,0,0,0,0,1,1,0,0,0,0,0,Matches,0
Tyler Roberts\Tyler-Roberts,wal WAL,MF,20,23,12,1090,4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,Matches,0
Illan Meslier\Illan-Meslier,fr FRA,GK,19,10,10,900,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Barry Douglas\Barry-Douglas,sco SCO,DF,29,15,6,648,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Adam Forshaw\Adam-Forshaw,eng ENG,MF,27,7,6,584,0,1,0,0,3,0,0,0.15,0.15,0,0.15,Matches,0
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,20,17,2,509,3,0,0,0,2,0,0.53,0,0.53,0.53,0.53,Matches,0
Jamie Shackleton\Jamie-Shackleton,eng ENG,MF,19,22,5,473,2,0,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches,0
Pascal Struijk\Pascal-Struijk,nl NED,MF,19,5,2,218,0,0,0,0,1,0,0,0,0,0,0,Matches,0
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MF,19,4,1,127,0,1,0,0,0,0,0,0.71,0.71,0,0.71,Matches,0
Jordan Stevens\Jordan-Stevens,eng ENG,MF,19,4,0,57,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,22,3,0,51,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Jack Clarke\Jack-Clarke,nir NIR,MF,18,1,0,20,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Mateusz Bogusz\Mateusz-Bogusz,pl POL,MF,17,1,0,18,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Leif Davis\Leif-Davis,eng ENG,DF,19,3,0,14,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Robbie Gotts\Robbie-Gotts,eng ENG,FW,19,1,0,7,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Oliver Casey\Oliver-Casey,eng ENG,DF,18,1,0,6,0,0,0,0,0,0,0,0,0,0,0,Matches,0
