Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,Matches,MOTM
Sam Johnstone\Sam-Johnstone,eng ENG,GK,26,46,46,4140,0,0,0,0,1,0,0,0,0,0,0,Matches,2
Semi Ajayi\Semi-Ajayi,ng NGA,DF,25,43,42,3783,5,0,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches,1
Jake Livermore\Jake-Livermore,eng ENG,MF,29,45,43,3741,3,4,0,0,10,0,0.07,0.1,0.17,0.07,0.17,Matches,1
Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,27,42,42,3717,1,1,0,0,10,1,0.02,0.02,0.05,0.02,0.05,Matches,0
Matheus Pereira\Matheus-Pereira,br BRA,MFFW,23,42,38,3365,8,17,0,0,5,0,0.21,0.45,0.67,0.21,0.67,Matches,7
Kyle Bartley\Kyle-Bartley,eng ENG,DF,28,38,37,3265,2,2,0,0,7,0,0.06,0.06,0.11,0.06,0.11,Matches,4
Matt Phillips\Matt-Phillips,sco SCO,MF,28,39,30,2417,7,6,0,0,5,0,0.26,0.22,0.48,0.26,0.48,Matches,0
Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FW,30,39,24,2317,10,1,1,1,5,0,0.39,0.04,0.43,0.35,0.39,Matches,3
Filip Krovinović\Filip-Krovinovic,hr CRO,MF,23,40,24,2295,3,2,0,0,3,0,0.12,0.08,0.2,0.12,0.2,Matches,1
Darnell Furlong\Darnell-Furlong,eng ENG,DF,23,31,22,2247,2,1,0,0,5,0,0.08,0.04,0.12,0.08,0.12,Matches,2
Conor Townsend\Conor-Townsend,eng ENG,DF,26,27,19,1902,0,1,0,0,4,0,0,0.05,0.05,0,0.05,Matches,2
Grady Diangana\Grady-Diangana,eng ENG,MF,21,30,23,1853,8,6,0,0,2,0,0.39,0.29,0.68,0.39,0.68,Matches,3
Nathan Ferguson\Nathan-Ferguson,eng ENG,DF,18,21,21,1746,1,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,Matches,1
Charlie Austin\Charlie-Austin,eng ENG,FW,30,34,18,1508,10,2,4,4,5,0,0.6,0.12,0.72,0.36,0.48,Matches,1
Dara O'Shea\Dara-OShea,ie IRL,DF,20,17,16,1482,3,0,0,0,4,0,0.18,0,0.18,0.18,0.18,Matches,1
Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,28,16,14,1220,1,0,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches,0
Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,29,14,14,984,1,2,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches,0
Kyle Edwards\Kyle-Edwards,eng ENG,MF,21,26,9,923,2,0,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches,1
Callum Robinson\Callum-Robinson,ie IRL,FWMF,24,16,10,853,3,2,0,0,1,0,0.32,0.21,0.53,0.32,0.53,Matches,1
Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,25,17,5,659,3,0,2,2,0,0,0.41,0,0.41,0.14,0.14,Matches,1
Kamil Grosicki\Kamil-Grosicki,pl POL,MF,31,14,4,499,1,3,0,0,0,0,0.18,0.54,0.72,0.18,0.72,Matches,0
Rekeem Harper\Rekeem-Harper,eng ENG,MF,19,10,4,375,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Gareth Barry\Gareth-Barry,eng ENG,MF,38,3,1,90,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Chris Brunt\Chris-Brunt,nir NIR,DFMF,34,7,0,81,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Oliver Burke\Oliver-Burke,sco SCO,FWMF,22,2,0,39,0,0,0,0,0,0,0,0,0,0,0,Matches,0
