Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save_per,W,D,L,CS,PKatt,PKA,PKsv,PKm
Barnsley,46,46,4140,69,1.5,184,119,0.647,12,13,21,11,4,4,0,0
Birmingham City,46,46,4140,75,1.63,166,101,0.59,12,14,20,7,10,7,3,0
Blackburn,46,46,4140,63,1.37,175,121,0.691,17,12,17,12,10,9,1,0
Brentford,46,46,4140,38,0.83,134,98,0.739,24,9,13,16,3,3,0,0
Bristol City,46,46,4140,65,1.41,205,144,0.702,17,12,17,10,4,4,0,0
Cardiff City,46,46,4140,58,1.26,159,106,0.66,19,16,11,14,6,4,1,1
Charlton Ath,46,46,4140,65,1.41,213,154,0.714,12,12,22,9,6,4,2,0
Derby County,46,46,4140,64,1.39,187,132,0.701,17,13,16,9,10,8,1,1
Fulham,46,46,4138,48,1.04,164,119,0.732,23,12,11,17,5,4,0,1
Huddersfield,46,46,4140,70,1.52,176,107,0.614,13,12,21,12,2,2,0,0
Hull City,46,46,4140,87,1.89,197,118,0.599,12,9,25,7,8,8,0,0
Leeds United,46,46,4140,35,0.76,124,92,0.742,28,9,9,22,3,3,0,0
Luton Town,46,46,4140,82,1.78,222,145,0.653,14,9,23,7,7,5,1,1
Middlesbrough,46,46,4140,61,1.33,184,126,0.685,13,14,19,12,3,3,0,0
Millwall,46,46,4140,51,1.11,190,141,0.742,17,17,12,16,3,2,1,0
Nott'ham Forest,46,46,4140,50,1.09,169,122,0.722,18,16,12,14,4,3,1,0
Preston,46,46,4140,54,1.17,157,108,0.688,18,12,16,9,5,5,0,0
QPR,46,46,4140,76,1.65,183,116,0.634,16,10,20,6,10,9,1,0
Reading,46,46,4140,58,1.26,209,154,0.737,15,11,20,13,3,3,0,0
Sheffield Weds,46,46,4138,66,1.44,156,98,0.628,15,11,20,13,9,8,0,1
Stoke City,46,46,4140,68,1.48,165,102,0.618,16,8,22,12,5,5,0,0
Swansea City,46,46,4140,53,1.15,160,113,0.688,18,16,12,13,7,3,3,1
West Brom,46,46,4140,45,0.98,153,113,0.732,22,17,7,14,5,4,1,0
Wigan Athletic,46,46,4140,56,1.22,156,101,0.647,15,14,17,16,1,1,0,0
