first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Mesut,Özil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,68
Sokratis,Papastathopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
David,Luiz Moreira Marinho,0,0,7,319,5,9.8,66.6,21.0,0,51,9.7,0,0,0,0.9,55
Pierre-Emerick,Aubameyang,2,1,30,716,10,147.8,133.4,151.0,1,111,43.2,2,0,2,12.9,117
Cédric,Soares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,47
Alexandre,Lacazette,3,0,27,485,5,73.8,126.4,186.0,3,88,38.3,2,0,1,3.2,84
Shkodran,Mustafi,0,0,2,44,1,1.0,11.6,0.0,0,13,1.3,0,0,0,0.0,50
Bernd,Leno,0,0,28,720,10,0.0,171.2,0.0,2,150,17.1,2,0,0,9.0,50
Granit,Xhaka,0,0,10,407,6,33.8,51.8,29.0,0,47,11.4,1,0,1,0.5,53
Pablo,Marí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Héctor,Bellerín,0,3,34,720,10,91.4,126.6,49.0,6,152,26.8,2,0,3,8.3,51
Calum,Chambers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Sead,Kolasinac,0,0,2,90,1,5.4,3.6,4.0,0,9,1.3,0,0,0,0.2,48
Ainsley,Maitland-Niles,0,0,9,187,3,4.3,20.2,7.0,0,35,3.2,1,0,0,1.0,48
Rob,Holding,0,0,15,450,7,3.6,96.8,4.0,0,100,10.4,2,0,1,1.3,44
Kieran,Tierney,0,0,20,620,9,97.8,111.6,31.0,0,121,24.1,2,0,0,5.2,54
Nicolas,Pépé,1,0,13,227,6,22.5,41.2,82.0,0,37,14.6,0,0,0,0.8,76
Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
Joseph,Willock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,52
Edward,Nketiah,1,0,15,145,3,25.4,48.0,66.0,3,51,13.7,0,0,0,0.6,56
Emile,Smith Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44
Bukayo,Saka,1,0,18,508,6,65.3,90.4,190.0,1,71,34.6,2,0,0,2.8,53
Matteo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
Gabriel Teodoro,Martinelli Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,41
Willian,Borges Da Silva,0,3,27,511,6,133.7,59.4,58.0,2,94,25.2,2,0,0,4.7,77
Gabriel,Magalhães,1,0,31,630,7,7.0,182.6,85.0,5,143,27.5,2,0,1,11.3,51
Daniel,Ceballos Fernández,0,1,17,437,6,142.3,119.8,25.0,3,103,28.8,1,0,1,1.3,49
Mohamed Naser,El Sayed Elneny,0,0,12,450,7,38.8,59.4,24.0,0,74,12.2,2,0,0,1.6,44
Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,40
Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Thomas,Partey,0,0,6,232,2,20.2,42.8,27.0,0,42,9.0,1,0,1,1.0,50
Emiliano,Martínez,0,0,40,630,9,0.0,198.6,0.0,4,168,19.8,4,0,0,27.4,48
Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Ahmed,El Mohamady,0,0,2,33,0,15.9,7.6,4.0,0,8,2.8,0,0,0,0.3,44
Henri,Lansbury,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Neil,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43
Jed,Steer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.4,40
Conor,Hourihane,1,1,17,137,0,77.7,62.2,23.0,3,57,16.3,2,0,0,0.2,60
José Ignacio,Peleteiro Romallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59
Ørjan,Nyland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,8.3,40
Bjorn,Engels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Jack,Grealish,4,6,60,630,9,249.6,295.0,440.0,5,208,98.3,4,0,1,38.4,75
John,McGinn,1,4,34,630,9,192.8,160.4,82.0,2,129,43.5,4,0,3,2.3,55
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Mahmoud Ahmed,Ibrahim Hassan,0,1,21,552,6,96.2,108.2,186.0,0,74,38.9,4,0,0,0.9,53
Tyrone,Mings,2,1,42,630,9,25.8,208.4,100.0,3,166,33.6,4,0,2,13.0,53
Matt,Targett,0,1,29,630,9,89.6,77.2,42.0,2,129,21.0,4,0,2,2.5,45
James,Bree,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Marvelous,Nakamba,0,0,1,13,0,0.6,8.4,7.0,0,4,1.7,0,0,1,0.4,44
Anwar,El Ghazi,0,0,1,2,0,0.3,1.2,0.0,0,2,0.2,0,0,0,0.1,58
Ezri,Konsa Ngoyo,1,0,35,630,9,1.5,137.4,79.0,3,142,21.8,4,0,0,7.7,47
Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Wesley,Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60
Mbwana,Samatta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59
Keinan,Davis,0,0,1,28,0,12.9,4.4,6.0,0,3,2.3,0,0,0,8.0,43
Indiana,Vassilev,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,44
Douglas Luiz,Soares de Paulo,0,1,19,615,9,89.8,103.6,42.0,0,82,23.7,4,0,2,0.3,49
Ross,Barkley,2,1,31,490,9,223.9,148.8,205.0,4,113,57.8,2,0,0,4.3,60
Matthew,Cash,0,0,24,595,9,64.4,135.6,20.0,1,133,22.0,4,0,3,0.7,50
Ollie,Watkins,6,1,47,630,9,120.2,263.2,332.0,6,182,71.5,4,0,0,8.4,61
Bertrand,Traoré,0,0,5,70,3,2.8,5.8,55.0,0,13,6.3,0,0,0,0.0,59
Jacob,Ramsey,0,0,1,13,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0.1,45
Glenn,Murray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Adam,Lallana,0,0,15,470,7,130.9,42.0,95.0,0,63,26.5,2,0,0,0.4,62
Pascal,Groß,0,1,14,252,4,143.7,71.6,64.0,1,62,28.0,1,0,0,0.1,58
Shane,Duffy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Davy,Pröpper,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48
Aaron,Mooy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Dan,Burn,0,0,11,383,4,26.6,37.8,29.0,0,55,9.4,1,0,1,0.4,44
Lewis,Dunk,0,0,5,450,11,17.3,59.2,38.0,1,62,11.5,1,1,1,2.8,48
Martín,Montoya,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Florin,Andone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Solomon,March,1,1,26,570,12,157.6,127.8,116.0,2,113,40.2,2,0,0,0.9,50
Adam,Webster,0,0,18,720,14,38.0,95.2,99.0,0,110,23.2,2,0,1,1.8,44
Joël,Veltman,0,0,12,307,5,47.0,66.4,4.0,3,65,11.9,1,0,0,0.4,43
Neal,Maupay,4,1,38,630,12,82.6,187.2,357.0,5,135,62.6,2,0,0,4.1,64
Leandro,Trossard,1,2,27,588,13,155.0,85.6,139.0,1,82,37.8,2,0,1,1.3,60
Mathew,Ryan,0,0,17,630,12,0.3,62.0,0.0,0,100,6.2,2,0,1,13.7,45
Alireza,Jahanbakhsh,0,1,6,35,1,42.8,32.6,28.0,0,32,10.3,0,0,1,0.0,54
José,Izquierdo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Matthew,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Ben,White,0,0,18,708,14,34.6,128.4,10.0,0,125,17.5,2,0,1,1.3,45
Bernardo,Fernandes da Silva Junior,0,0,1,25,1,1.1,4.2,2.0,0,3,0.7,0,0,0,8.6,39
Yves,Bissouma,1,0,18,628,11,40.4,88.2,71.0,2,75,19.7,2,1,2,3.5,45
Tariq,Lamptey,1,3,29,630,12,125.6,133.4,138.0,2,123,39.8,1,0,2,12.8,48
Aaron,Connolly,1,1,18,288,7,34.3,56.4,69.0,2,49,15.9,1,0,0,0.5,54
Steven,Alzate,0,0,9,350,11,89.8,48.0,23.0,0,59,16.1,1,0,1,0.8,45
Alexis,Mac Allister,1,0,11,43,1,2.7,43.4,7.0,3,29,5.3,0,0,0,0.0,53
Christian,Walton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,40
Jayson,Molumby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Andi,Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Danny,Welbeck,0,0,3,101,0,33.1,7.4,69.0,0,10,11.0,1,0,0,0.1,55
Robert,Sánchez,0,0,1,90,2,0.0,19.0,0.0,0,12,1.9,0,0,0,0.0,45
Dale,Stephens,0,0,5,202,4,7.3,23.8,21.0,0,27,5.3,0,0,0,6.3,44
James,Tarkowski,0,0,15,450,7,22.0,97.0,81.0,0,72,20.1,2,0,1,2.5,54
Phil,Bardsley,0,0,1,270,8,12.9,31.4,6.0,0,24,5.1,0,0,2,0.3,45
Erik,Pieters,0,0,4,140,3,2.0,7.6,17.0,0,19,2.6,1,0,0,0.4,43
Jack,Cork,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Kevin,Long,0,0,11,540,12,11.5,94.2,16.0,1,76,12.2,1,0,2,0.2,45
Jay,Rodriguez,0,0,5,153,5,24.0,12.2,23.0,0,16,6.0,0,0,1,0.3,58
Ashley,Barnes,0,0,9,381,7,78.0,20.2,117.0,0,5,21.4,2,0,1,0.1,60
Ben,Mee,0,0,8,90,0,0.1,33.8,4.0,2,29,3.8,1,0,0,0.2,49
Ashley,Westwood,1,0,21,630,12,127.4,109.4,36.0,1,111,27.3,2,0,1,0.5,53
Johann Berg,Gudmundsson,0,0,6,173,2,19.9,14.4,21.0,0,18,5.6,1,0,0,0.0,54
Chris,Wood,1,0,18,623,12,24.9,49.6,191.0,0,29,25.9,2,0,0,1.0,62
Matthew,Lowton,0,0,9,270,4,21.8,43.8,1.0,0,53,6.7,1,0,0,0.1,44
Matej,Vydra,0,0,6,130,2,27.4,9.6,67.0,0,18,10.4,0,0,0,0.7,49
Ben,Gibson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39
Robbie,Brady,0,0,6,167,1,5.7,23.8,23.0,0,24,5.3,1,0,0,0.0,50
Nick,Pope,0,0,29,630,12,0.0,169.2,0.0,5,126,16.9,2,0,0,10.7,54
Charlie,Taylor,0,1,22,630,12,66.8,119.6,11.0,2,122,19.7,2,0,1,3.1,45
Josh,Brownhill,0,0,15,630,12,91.8,67.0,55.0,0,89,21.4,2,0,1,0.0,50
Bailey,Peacock-Farrell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,40
Dwight,McNeil,0,1,18,630,12,152.0,101.0,16.0,0,91,27.0,2,0,1,0.4,58
Jimmy,Dunne,1,0,8,180,5,21.2,66.2,38.0,0,35,12.6,0,0,0,6.7,40
Bobby,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40
Josh,Benson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Anthony,Driscoll-Glennon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Mace,Goodridge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
