name,points,value,pos,team_code,type,actual_points,total_points_gw,gameweek
AaronCresswell,4.082340671978081,5.9,2,21,player,2,62,28
AdemolaLookman,4.597153616496077,5.1,3,54,player,2,62,28
BrunoMiguelBorgesFernandes,5.213885698436588,11.5,3,1,player,3,62,28
EmilianoMartínez,5.461547767072028,5.4,1,7,player,3,62,28
HarryKane,13.548294195654481,11.5,4,6,player,2,62,28
MattTargett,4.5220152690161335,5.1,2,7,player,4,62,28
MohamedSalah,4.826159248390368,12.4,3,14,player,3,62,28
NealMaupay,8.436047503779308,6.1,4,36,player,2,62,28
OllieWatkins,11.435258260978975,6.6,4,7,player,5,62,28
RaphaelDiasBelloli,5.263164596699778,5.6,3,2,player,3,62,28
StuartDallas,4.048668429243809,5.1,2,2,player,6,62,28
IllanMeslier,4.32806772918602,4.6,1,2,sub,11,62,28
JoãoPedroCavacoCancelo,3.5162134822955755,6.1,2,43,sub,12,62,28
TomasSoucek,4.0668688477079185,5.3,3,21,sub,2,62,28
VladimirCoufal,3.547317825541361,4.6,2,21,sub,2,62,28
