name,points,value,pos,team_code,type
AhmedElSayedHegazy,6.505659897953408,4.3,2,35,player
AlexandreLacazette,8.170865791484198,8.2,4,3,player
ChristianPulisic,10.788006950803716,8.2,3,8,player
EmilianoMartínez,7.228614713751202,5.4,1,7,player
JesseLingard,9.625952677232107,6.3,3,21,player
KelechiIheanacho,9.423021391382258,5.8,4,13,player
MasonMount,8.983581713235466,7.1,3,8,player
MatheusPereira,8.331717336368072,5.3,3,35,player
MohamedSalah,9.030505380879353,12.4,3,14,player
StuartDallas,6.579435019165357,5.1,2,2,player
TrentAlexanderArnold,7.373031071950272,7.3,2,14,player
AntonioRüdiger,6.341993500196053,4.7,2,8,sub
FernandoLuizRosa,5.485534272284802,5.4,2,43,sub
OllieWatkins,6.936297579162267,6.6,4,7,sub
SamJohnstone,6.084631707362066,4.5,1,35,sub
