,actual_points,gameweek,name,points,pos,team_code,total_points_gw,type,value
0,8,1,CallumWilson,10.463727670718171,4.0,4,174.0,player,6.5
1,8,1,DominicCalvertLewin,10.086247912688806,4.0,11,174.0,player,7.0
2,15,1,GabrielMagalhães,12.443937882264915,2.0,3,174.0,player,5.0
3,13,1,JamieVardy,13.379982269663206,4.0,13,174.0,player,10.0
4,14,1,JeffHendrick,12.565522034710085,3.0,4,174.0,player,5.0
5,12,1,LucasDigne,11.93103834056966,2.0,11,174.0,player,6.0
6,20,1,MohamedSalah,16.02623543568685,3.0,14,174.0,player,12.0
7,14,1,ReeceJames,10.873956926829974,2.0,8,174.0,player,5.0
8,14,1,TimothyCastagne,10.116848688183683,2.0,13,174.0,player,5.5
9,10,1,VicenteGuaita,12.149726349739804,1.0,31,174.0,player,5.0
10,14,1,WillianBorgesDaSilva,10.740529807315221,3.0,3,174.0,player,8.1
11,8,1,AndrosTownsend,9.30254446362966,3.0,31,174.0,sub,6.0
12,7,1,JamalLewis,7.063885798982309,2.0,4,174.0,sub,4.5
13,8,1,JordanPickford,7.426298894761747,1.0,11,174.0,sub,5.0
14,9,1,MateuszKlich,7.63393469239957,3.0,2,174.0,sub,5.5
15,8,10,BenjaminChilwell,8.272092986575249,2.0,8,70.0,player,6.2
16,10,10,BrunoMiguelBorgesFernandes,12.99281045800555,3.0,1,70.0,player,10.9
17,2,10,DominicCalvertLewin,10.380895900116952,4.0,11,70.0,player,7.9
18,2,10,HarryKane,14.250171962785576,4.0,6,70.0,player,10.9
19,3,10,HeungMinSon,12.834560435396492,3.0,6,70.0,player,9.5
20,11,10,IllanMeslier,5.458081678158504,1.0,2,70.0,player,4.5
21,5,10,LukeAyling,6.173922389649624,2.0,2,70.0,player,4.5
22,6,10,MohamedSalah,13.57997799562643,3.0,14,70.0,player,12.2
23,2,10,PatrickBamford,10.316270016210156,4.0,2,70.0,player,6.1
24,13,10,PedroLombaNeto,7.927235412127803,3.0,39,70.0,player,5.6
25,6,10,ReeceJames,7.274919333693668,2.0,8,70.0,player,5.1
26,0,10,BaileyPeacockFarrell,0.35989078129769114,1.0,90,70.0,sub,4.0
27,0,10,JimmyDunne,1.2204708625900005,2.0,90,70.0,sub,4.0
28,2,10,OriolRomeuVidal,4.860761737420966,3.0,20,70.0,sub,4.5
29,0,10,TyrickMitchell,1.530273237382877,2.0,31,70.0,sub,4.1
30,12,11,HarryKane,15.424582800000001,4.0,6,76.0,player,10.9
31,14,11,MohamedSalah,15.19260021,3.0,14,76.0,player,12.3
32,13,11,HeungMinSon,13.612237900000002,3.0,6,76.0,player,9.5
33,6,11,DominicCalvertLewin,11.88853197,4.0,11,76.0,player,8.0
34,0,11,JackGrealish,11.57380316,3.0,7,76.0,player,7.7
35,8,11,PatrickBamford,10.56633483,4.0,2,76.0,player,6.1
36,8,11,MasonMount,9.619572514,3.0,8,76.0,player,6.8
37,2,11,BenjaminChilwell,8.316330062,2.0,8,76.0,player,6.2
38,5,11,ReeceJames,7.319907455,2.0,8,76.0,player,5.2
39,1,11,AaronCresswell,6.871562997000001,2.0,21,76.0,player,5.2
40,3,11,IllanMeslier,5.773752681,1.0,2,76.0,player,4.6
41,1,11,LukeAyling,5.91611812,2.0,2,76.0,sub,4.5
42,2,11,AlexMcCarthy,5.1792719289999996,1.0,20,76.0,sub,4.6
43,1,11,OriolRomeuVidal,4.765504083,3.0,20,76.0,sub,4.5
44,0,11,JimmyDunne,1.216806485,2.0,90,76.0,sub,3.9
45,4,12,AdemolaLookman,4.392111733115833,3.0,54,81.0,player,5.0
