event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,1296183,1299594,1296183,0,1000,0,0,0
2,80,144,775758,776642,389765,0,1001,0,0,8
3,51,191,1769231,1769662,375195,7,1002,3,4,21
4,32,223,5752217,5752825,1362049,1,1007,1,0,8
5,82,305,626467,627575,691461,0,1013,0,0,16
6,42,347,4949194,4950881,989031,5,1024,1,0,18
7,58,401,2637108,2638266,1028942,9,1029,2,4,1
8,63,464,2153848,2155765,966219,7,1031,1,0,8
9,59,519,3264740,3266058,1120239,32,1031,2,4,12
10,58,573,1061077,1062444,961328,7,1032,2,4,25
11,64,633,3642050,3643429,1175730,10,1038,2,4,0
12,46,679,5123570,5124578,1497144,17,1042,1,0,23
13,50,729,1785019,1787574,1362811,1,1043,1,0,22
14,79,808,1114413,1115610,1098707,10,1046,1,0,9
15,59,867,636728,638002,845028,8,1050,1,0,12
16,53,920,774782,776241,689069,10,1051,1,0,3
17,68,988,1646311,1648086,620519,10,1055,0,0,9
18,38,1026,2281204,2282741,654773,10,1055,0,0,8
19,64,1082,5412808,5412891,1109121,5,1048,3,8,2
