element_in,element_in_cost,element_out,element_out_cost,entry,event,time
132,55,91,63,162673,35,2021-05-07T13:51:43.744254Z
209,42,449,52,162673,35,2021-05-07T13:51:43.743348Z
211,40,459,49,162673,35,2021-05-07T13:51:43.742414Z
259,76,46,46,162673,35,2021-05-07T13:51:43.735935Z
91,63,202,65,162673,34,2021-04-29T16:51:54.366411Z
498,57,277,58,162673,33,2021-04-23T14:04:56.153573Z
231,72,570,54,162673,33,2021-04-23T13:55:47.274859Z
459,49,435,58,162673,32,2021-04-16T15:41:50.796194Z
233,59,514,63,162673,32,2021-04-13T21:17:56.779943Z
301,63,370,59,162673,31,2021-04-07T20:28:54.915330Z
254,124,4,114,162673,31,2021-04-07T20:25:23.639640Z
302,115,272,118,162673,30,2021-04-02T22:02:19.204117Z
4,115,390,95,162673,29,2021-03-18T19:35:04.444492Z
200,51,273,52,162673,29,2021-03-17T16:57:41.961505Z
435,59,155,61,162673,29,2021-03-17T16:47:43.780041Z
46,46,255,72,162673,28,2021-03-11T18:53:18.691504Z
370,59,235,69,162673,27,2021-03-05T20:07:30.513665Z
272,118,302,111,162673,27,2021-03-05T20:07:30.505758Z
155,61,146,39,162673,26,2021-02-26T18:21:36.282325Z
388,111,569,79,162673,26,2021-02-26T18:19:21.854484Z
390,95,231,73,162673,26,2021-02-26T18:19:21.853461Z
235,69,37,73,162673,26,2021-02-26T18:19:21.846939Z
202,69,164,76,162673,25,2021-02-18T13:31:21.075611Z
570,54,120,68,162673,25,2021-02-18T13:31:21.062126Z
300,50,556,60,162673,24,2021-02-13T10:04:19.443993Z
569,79,506,67,162673,24,2021-02-09T22:20:30.673296Z
96,55,99,40,162673,24,2021-02-09T22:20:30.665805Z
231,73,254,126,162673,23,2021-02-05T18:24:56.567970Z
449,54,209,43,162673,23,2021-02-05T18:22:11.741868Z
506,67,388,111,162673,22,2021-02-02T13:45:30.300642Z
273,52,519,38,162673,22,2021-02-02T13:45:30.294148Z
514,62,366,83,162673,21,2021-01-29T12:23:34.681629Z
164,76,202,63,162673,21,2021-01-29T12:23:34.681288Z
209,43,474,57,162673,21,2021-01-29T12:23:34.680949Z
254,125,390,94,162673,21,2021-01-29T12:23:34.680524Z
120,68,284,63,162673,21,2021-01-29T12:23:34.680127Z
519,38,391,50,162673,21,2021-01-29T12:23:34.679764Z
556,59,200,46,162673,21,2021-01-29T12:23:34.679289Z
255,74,110,57,162673,21,2021-01-29T12:23:34.678578Z
99,40,213,46,162673,21,2021-01-29T12:23:34.677760Z
366,83,224,101,162673,20,2021-01-25T14:31:41.037475Z
277,58,270,61,162673,20,2021-01-25T14:31:41.024209Z
284,63,370,62,162673,19,2021-01-15T21:38:38.635784Z
388,111,164,74,162673,19,2021-01-15T21:19:36.765801Z
146,39,255,72,162673,19,2021-01-15T21:19:36.757958Z
391,51,536,40,162673,18,2021-01-12T15:27:03.694466Z
51,43,68,61,162673,18,2021-01-12T15:25:34.080103Z
141,74,23,44,162673,18,2021-01-12T15:25:34.079600Z
146,39,273,50,162673,18,2021-01-12T15:25:34.079149Z
68,61,262,45,162673,18,2021-01-12T15:13:03.608608Z
536,40,270,61,162673,18,2021-01-12T13:32:30.806741Z
23,44,370,62,162673,18,2021-01-12T13:32:30.806388Z
273,50,110,57,162673,18,2021-01-12T13:32:30.806015Z
326,48,213,45,162673,18,2021-01-12T13:32:30.805697Z
262,45,224,102,162673,18,2021-01-12T13:32:30.805306Z
506,66,202,62,162673,18,2021-01-12T13:32:30.804965Z
388,110,164,75,162673,18,2021-01-12T13:32:30.804648Z
272,118,37,73,162673,18,2021-01-12T13:32:30.804329Z
461,51,255,72,162673,18,2021-01-12T13:32:30.803978Z
277,58,391,51,162673,18,2021-01-12T13:32:30.803587Z
17,54,200,46,162673,18,2021-01-12T13:32:30.803209Z
325,50,12,48,162673,18,2021-01-12T13:32:30.802816Z
391,51,41,53,162673,16,2020-12-28T02:20:10.016290Z
270,62,232,60,162673,15,2020-12-23T19:53:00.679169Z
41,53,270,62,162673,14,2020-12-19T02:49:22.892315Z
110,57,470,41,162673,13,2020-12-15T14:13:20.912586Z
370,62,468,69,162673,12,2020-12-11T15:22:39.190209Z
270,62,498,56,162673,11,2020-12-04T11:28:35.001826Z
468,69,508,78,162673,11,2020-12-04T11:23:20.778137Z
224,102,388,108,162673,10,2020-11-27T17:59:28.142676Z
255,71,519,40,162673,10,2020-11-27T17:59:28.137080Z
302,106,254,121,162673,9,2020-11-20T17:59:40.950334Z
232,60,255,70,162673,9,2020-11-20T17:52:20.642215Z
474,55,105,53,162673,8,2020-11-04T19:15:16.905421Z
202,59,514,60,162673,7,2020-10-29T12:33:17.485196Z
105,53,198,56,162673,7,2020-10-29T12:33:17.475162Z
514,60,506,65,162673,6,2020-10-22T14:19:29.823326Z
506,65,514,59,162673,5,2020-10-16T14:49:22.278006Z
470,40,146,41,162673,5,2020-10-16T14:48:57.048517Z
146,41,442,45,162673,5,2020-10-16T08:51:02.906366Z
514,59,366,85,162673,5,2020-10-05T14:23:04.183639Z
388,106,184,59,162673,5,2020-10-05T14:23:04.180981Z
198,56,481,60,162673,5,2020-10-05T14:23:04.178736Z
37,70,478,80,162673,5,2020-10-05T14:23:04.176635Z
508,78,272,116,162673,5,2020-10-05T14:23:04.174699Z
390,90,55,44,162673,5,2020-10-05T14:23:04.172505Z
519,40,259,75,162673,5,2020-10-05T14:23:04.168733Z
442,45,197,45,162673,5,2020-10-05T14:23:04.166329Z
255,70,41,50,162673,5,2020-10-05T14:23:04.163607Z
213,45,70,45,162673,5,2020-10-05T14:23:04.160876Z
41,50,195,44,162673,4,2020-09-29T12:15:51.687328Z
164,72,140,60,162673,3,2020-09-22T14:06:43.809392Z
272,116,4,120,162673,3,2020-09-22T14:06:43.806143Z
498,55,255,70,162673,3,2020-09-22T14:06:43.713544Z
