name,points,value,pos,team_code,type
AaronCresswell,4.0,5.8,2,21,player
BrunoMiguelBorgesFernandes,6.0,11.5,3,1,player
CraigDawson,4.0,4.5,2,21,player
HarryKane,5.25,11.4,4,6,player
JesseLingard,4.0,6.0,3,21,player
MarcusRashford,5.0,9.6,3,1,player
MartinDubravka,4.0,4.8,1,4,player
MohamedSalah,6.0,12.5,3,14,player
PierreEmerickAubameyang,5.0,11.3,3,3,player
StuartDallas,4.0,5.0,2,2,player
VictorLindelöf,4.0,4.8,2,1,player
AdriánSanMigueldelCastillo,3.0,4.2,1,14,sub
AhmedElSayedHegazy,3.6,4.3,2,35,sub
LewisRichardson,2.0,4.5,4,90,sub
NiallHuggins,2.0,4.5,4,2,sub
