name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AaronCresswell,4.189375973938787,5.0,2.0,21,player,5,5,95
AndrewRobertson,4.25525669115638,7.1,2.0,14,player,6,5,95
DominicCalvertLewin,6.0926522575232935,7.7,4.0,11,player,6,5,95
HarryKane,7.5678048854172015,10.8,4.0,6,player,16,5,95
HeungMinSon,7.368740499034643,9.4,3.0,6,player,13,5,95
JackGrealish,7.845074369079465,7.2,3.0,7,player,3,5,95
JohnMcGinn,5.679691367330973,5.5,3.0,7,player,5,5,95
KarlDarlow,4.270285168569099,5.0,1.0,4,player,8,5,95
MohamedSalah,8.889845239921122,12.3,3.0,14,player,7,5,95
OllieWatkins,5.916209392795787,6.0,4.0,7,player,2,5,95
RomainSaïss,3.710903759046894,5.2,2.0,39,player,7,5,95
LukeAyling,3.0553801590980965,4.5,2.0,2,sub,1,5,95
SamJohnstone,3.1988618299370253,4.5,1.0,35,sub,9,5,95
SolomonMarch,3.5502731760972,5.0,3.0,36,sub,3,5,95
VladimirCoufal,3.276592628974285,4.5,2.0,21,sub,4,5,95
