name,points,value,pos,team_code,type,actual_points
DominicCalvertLewin,5.61831067165565,7.7,4.0,11,player,8
HarryKane,6.683427276938713,11.0,4.0,6,player,6
HeungMinSon,6.555371886471742,9.6,3.0,6,player,2
JackGrealish,7.274148821382536,7.4,3.0,7,player,15
KarlDarlow,3.6656366812704384,5.0,1.0,4,player,3
KurtZouma,3.6143948347721193,5.2,2.0,8,player,14
MohamedSalah,7.824111143679548,12.4,3.0,14,player,8
NélsonCabralSemedo,3.5930105633098326,5.5,2.0,39,player,8
OllieWatkins,5.3281542462919615,6.0,4.0,7,player,7
PedroLombaNeto,4.878045592373467,5.5,3.0,39,player,7
TyroneMings,3.770548842229308,5.2,2.0,7,player,6
AlexMcCarthy,3.2452431221289304,4.5,1.0,20,sub,3
DanielCasteloPodence,4.115117855424672,5.5,3.0,39,sub,8
LukeAyling,3.1256545582606816,4.5,2.0,2,sub,0
ReeceJames,3.318937924999533,5.0,2.0,8,sub,6
