name,total_points,pos,minutes,now_cost,was_home,ict_index,xG,xA,clean_sheets,strength,saves,opponent_team,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
AaronConnolly,1,4,45,52,True,3.4,0.2926897699634234,0.009993135432402293,0,4,0,5,1240,1280,1270,1310
AaronCresswell,1,2,90,59,True,2.2,0.02787751884066633,0.1908853282220662,0,4,0,14,1240,1320,1330,1350
AaronMooy,0,3,0,50,True,0.0,0.0,0.0,0,4,0,5,1240,1280,1270,1310
AaronRamsdale,1,1,90,46,True,1.8,0.0,0.0018472707477109186,0,2,2,20,1140,1200,1110,1160
AbdoulayeDoucouré,3,3,90,52,False,6.9,0.0,0.0,1,3,0,17,1190,1240,1280,1320
AboubakarKamara,2,3,62,48,True,0.2,0.05953820337626067,0.029906270856207062,0,4,0,1,1170,1210,1190,1200
AdamaTraoré,3,3,90,60,False,3.2,0.0,0.0,1,3,0,15,1110,1130,1010,1050
AdamForshaw,0,3,0,48,False,0.0,0.0,0.0,0,3,0,11,1150,1170,1210,1250
AdamLallana,1,3,44,62,True,3.6,0.05334452328018167,0.10724992465905166,0,4,0,5,1240,1280,1270,1310
AdamWebster,1,2,90,43,True,2.8,0.04663892208852551,0.011509800075807354,0,4,0,5,1240,1280,1270,1310
AdrienSilva,0,3,0,44,False,0.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
AdriánSanMigueldelCastillo,0,1,0,42,True,0.0,0.0,0.0,0,4,0,10,1060,1110,1130,1160
AhmedElSayedHegazy,0,2,0,41,True,0.0,0.0,0.0,0,2,0,9,1190,1190,1200,1180
AinsleyMaitlandNiles,6,2,90,46,False,1.7,0.03042879654094577,0.03977224841299984,1,2,0,8,1240,1280,1270,1310
AlbianAjeti,0,4,0,55,True,0.0,0.0,0.0,0,4,0,14,1240,1320,1330,1350
AleksandarMitrović,1,4,27,55,True,1.0,0.0,0.0,0,4,0,1,1170,1210,1190,1200
AlexandreLacazette,7,4,86,81,False,9.9,0.42670747777447104,0.06342106902350982,1,4,0,8,1240,1280,1270,1310
AlexisMacAllister,0,3,0,53,True,0.0,0.08483982185966202,0.11849032808095217,0,4,0,5,1240,1280,1270,1310
AlexIwobi,0,3,0,59,False,0.0,0.024133901074528695,0.08513432145118713,0,3,0,17,1190,1240,1280,1320
AlexMcCarthy,2,1,90,45,False,2.3,0.0,0.0,0,3,2,6,1100,1150,1020,1050
AlexOxladeChamberlain,0,3,0,63,True,0.0,0.016962810936901305,0.03353083382050197,0,4,0,10,1060,1110,1130,1160
AlfieMawson,0,2,0,43,True,0.0,0.0,0.0,0,4,0,1,1170,1210,1190,1200
AlirezaJahanbakhsh,1,3,11,54,True,0.5,0.10329559875222355,0.1399123829144698,0,4,0,5,1240,1280,1270,1310
AlissonRamsesBecker,1,1,90,59,True,0.4,0.0,0.0,0,4,0,10,1060,1110,1130,1160
